log_id,service_name,severity,event_type,message,created_at,is_incident,incident_type,incident_summary,alert_level,escalation_required,escalation_channel,escalation_status
LOG-10490,GitHub Actions,Critical,Repository,Pull request created,2026-05-27 03:12 PM,True,Repository Issue,"Critical incident detected on GitHub Actions. Log message: Pull request created. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Critical Alert,True,Email + Teams,Failed: SMTP_EMAIL is missing from .env
LOG-36665,CI/CD Pipeline,Error,System Check,Service running normally,2026-05-27 03:12 PM,True,System Error,"Error incident detected on CI/CD Pipeline. Log message: Service running normally. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-75637,Auth API,Warning,System Check,Database connection timeout,2026-05-27 03:12 PM,True,Database/Infrastructure Risk,"Warning incident detected on Auth API. Log message: Database connection timeout. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Medium Alert,False,Dashboard,Pending
LOG-63974,CI/CD Pipeline,Critical,Pipeline,Pipeline failed at testing stage,2026-05-27 03:12 PM,True,Pipeline Failure,"Critical incident detected on CI/CD Pipeline. Log message: Pipeline failed at testing stage. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Critical Alert,True,Email + Teams,Failed: SMTP_EMAIL is missing from .env
LOG-47720,Auth API,Warning,Pipeline,Pipeline failed at testing stage,2026-05-27 03:12 PM,True,Pipeline Failure,"Warning incident detected on Auth API. Log message: Pipeline failed at testing stage. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Medium Alert,False,Dashboard,Pending
LOG-62524,Payment Service,Warning,System Check,Security vulnerability found,2026-05-27 03:12 PM,True,Security Risk,"Warning incident detected on Payment Service. Log message: Security vulnerability found. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Medium Alert,False,Dashboard,Pending
LOG-89345,GitHub Actions,Critical,System Check,Service response time increased,2026-05-27 03:12 PM,True,System Error,"Critical incident detected on GitHub Actions. Log message: Service response time increased. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Critical Alert,True,Email + Teams,Failed: SMTP_EMAIL is missing from .env
LOG-80146,GitHub Actions,Warning,Repository,Merge conflict detected,2026-05-27 03:12 PM,True,Repository Issue,"Warning incident detected on GitHub Actions. Log message: Merge conflict detected. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Medium Alert,False,Dashboard,Pending
LOG-15010,Customer API,Info,System Check,Security vulnerability found,2026-05-27 03:12 PM,True,Security Risk,"Info incident detected on Customer API. Log message: Security vulnerability found. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Medium Alert,False,Dashboard,Pending
LOG-86351,KYC Service,Critical,Pipeline,Build triggered successfully,2026-05-27 03:12 PM,True,Pipeline Failure,"Critical incident detected on KYC Service. Log message: Build triggered successfully. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Critical Alert,True,Email + Teams,Failed: SMTP_EMAIL is missing from .env
LOG-79453,GitHub Actions,Critical,Pipeline,Unit tests passed successfully,2026-05-27 03:12 PM,True,Pipeline Failure,"Critical incident detected on GitHub Actions. Log message: Unit tests passed successfully. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Critical Alert,True,Email + Teams,Failed: SMTP_EMAIL is missing from .env
LOG-48374,KYC Service,Warning,System Check,Failed authentication attempt detected,2026-05-27 03:12 PM,True,Security Risk,"Warning incident detected on KYC Service. Log message: Failed authentication attempt detected. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Medium Alert,False,Dashboard,Pending
