chat_id,customer_id,message,intent,confidence,sentiment,bot_response,ticket_id,escalated,created_at,classification_source
CHAT-9423576A,12,I was debited twice for one transaction and I need urgent help.,failed_transaction,0.9,Negative,Thank you for reaching out. We understand this may be urgent. Your complaint has been logged with Ticket ID WYA-TCK-260AA246 and routed to Finance Operations. Priority level: High. A support officer will follow up shortly.,WYA-TCK-260AA246,True,2026-05-27 03:16 PM,
CHAT-CFEF167B,12,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,0.9,Neutral,Thank you for reaching out. We understand this may be urgent. Your complaint has been logged with Ticket ID WYA-TCK-2A7E488A and routed to Finance Operations. Priority level: High. A support officer will follow up shortly.,WYA-TCK-2A7E488A,True,2026-05-27 03:17 PM,
CHAT-8B8F7CF5,12,My card was used for a transaction I did not authorize.,card_issue,0.9,Neutral,Thank you for contacting support. Your request has been logged with Ticket ID WYA-TCK-C35851F3 and routed to Customer Operations. Our team will review it and respond soon.,WYA-TCK-C35851F3,False,2026-05-27 03:18 PM,
CHAT-471F18BD,12,My KYC verification has been pending for days and I cannot use my account.,kyc_issue,0.9,Neutral,Thank you for contacting support. Your request has been logged with Ticket ID WYA-TCK-2DF45218 and routed to Compliance/KYC. Our team will review it and respond soon.,WYA-TCK-2DF45218,False,2026-05-27 03:18 PM,
CHAT-F1474924,CUST-0001,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,0.9,Neutral,Thank you for reaching out. We understand this may be urgent. Your complaint has been logged with Ticket ID WYA-TCK-7B703C74 and routed to Finance Operations. Priority level: High. A support officer will follow up shortly.,WYA-TCK-7B703C74,True,2026-05-27 03:23 PM,
CHAT-AFD10313,CUST-0001,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,0.9,Neutral,Thank you for reaching out. We understand this may be urgent. Your complaint has been logged with Ticket ID WYA-TCK-680D28D7 and routed to Finance Operations. Priority level: High. A support officer will follow up shortly.,WYA-TCK-680D28D7,True,2026-05-27 03:52 PM,
CHAT-638418C9,CUST-0001,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,0.9,Neutral,Thank you for reaching out. We understand this may be urgent. Your complaint has been logged with Ticket ID WYA-TCK-BCFAF002 and routed to Finance Operations. Priority level: High. A support officer will follow up shortly.,WYA-TCK-BCFAF002,True,2026-05-27 03:53 PM,
CHAT-E37761D4,CUST-0001,Someone accessed my account without permission and made a transaction.,fraud_alert,0.9,Neutral,Thank you for reaching out. We understand this may be urgent. Your complaint has been logged with Ticket ID WYA-TCK-0C1A8FA5 and routed to Fraud/Risk Team. Priority level: Critical. A support officer will follow up shortly.,WYA-TCK-0C1A8FA5,True,2026-05-27 03:54 PM,
CHAT-8A171015,CUST-0001,How do I update my phone number?,general_inquiry,0.9,Neutral,Thank you for contacting support. Your request has been logged with Ticket ID WYA-TCK-76D66007 and routed to Customer Operations. Our team will review it and respond soon.,WYA-TCK-76D66007,False,2026-05-27 03:54 PM,
CHAT-376C306B,CUST-0001,Someone accessed my account without permission and made a transaction.,fraud_alert,0.9,Neutral,Thank you for reaching out. We understand this may be urgent. Your complaint has been logged with Ticket ID WYA-TCK-CC520935 and routed to Fraud/Risk Team. Priority level: Critical. A support officer will follow up shortly.,WYA-TCK-CC520935,True,2026-05-27 06:42 PM,
CHAT-3995EAEC,CUST-0001,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,0.9,Neutral,Thank you for reaching out. We understand this may be urgent. Your complaint has been logged with Ticket ID WYA-TCK-284BFF3D and routed to Finance Operations. Priority level: High. A support officer will follow up shortly.,WYA-TCK-284BFF3D,True,2026-05-27 06:57 PM,
CHAT-6A8E991C,CUST-0001,How do I update my phone number?,general_inquiry,0.9,Neutral,Thank you for contacting support. Your request has been logged with Ticket ID WYA-TCK-B7FA7B16 and routed to Customer Operations. Our team will review it and respond soon.,WYA-TCK-B7FA7B16,False,2026-05-27 07:03 PM,
CHAT-965DB710,CUST-0001,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,0.9,Neutral,Thank you for reaching out. We understand this may be urgent. Your complaint has been logged with Ticket ID WYA-TCK-7E6F2799 and routed to Finance Operations. Priority level: High. A support officer will follow up shortly.,WYA-TCK-7E6F2799,True,2026-05-29 11:02 AM,
CHAT-69DB8F4F,CUST-0001,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,0.9,Neutral,Thank you for reaching out. We understand this may be urgent. Your complaint has been logged with Ticket ID WYA-TCK-C0D9E5D4 and routed to Finance Operations. Priority level: High. A support officer will follow up shortly.,WYA-TCK-C0D9E5D4,True,2026-05-29 11:05 AM,
CHAT-9DFD7EF5,CUST-0001,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,0.9,Neutral,Thank you for reaching out. We understand this may be urgent. Your complaint has been logged with Ticket ID WYA-TCK-7D195900 and routed to Finance Operations. Priority level: High. A support officer will follow up shortly.,WYA-TCK-7D195900,True,2026-05-29 11:10 AM,
CHAT-10531DDE,CUST-0001,The app keeps crashing whenever I try to make a payment.,general_inquiry,0.6,Neutral,Thank you for contacting support. Your request has been logged with Ticket ID WYA-TCK-E99BE161 and routed to Customer Operations. Our team will review it and respond soon.,WYA-TCK-E99BE161,False,2026-05-29 11:12 AM,
CHAT-924C9EC3,CUST-0001,I cannot log into my account and I need access urgently.,general_inquiry,0.6,Negative,Thank you for reaching out. We understand this may be urgent. Your complaint has been logged with Ticket ID WYA-TCK-F8C23632 and routed to Customer Operations. Priority level: Low. A support officer will follow up shortly.,WYA-TCK-F8C23632,True,2026-05-29 11:12 AM,
CHAT-528624FA,CUST-0001,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,0.9,Neutral,Thank you for reaching out. We understand this may be urgent. Your complaint has been logged with Ticket ID WYA-TCK-ADD5CBDB and routed to Finance Operations. Priority level: High. A support officer will follow up shortly.,WYA-TCK-ADD5CBDB,True,2026-05-31 04:28 PM,
CHAT-AACF157F,CUST-0001,Someone accessed my account and transferred money without my permission.,fraud_alert,0.9,Neutral,Thank you for reaching out. We understand this may be urgent. Your complaint has been logged with Ticket ID WYA-TCK-E9442782 and routed to Fraud/Risk Team. Priority level: Critical. A support officer will follow up shortly.,WYA-TCK-E9442782,True,2026-05-31 11:59 PM,rule_based_fallback
CHAT-A798B36C,CUST-0001,The app keeps crashing whenever I try to make a payment.,general_inquiry,0.6,Neutral,Thank you for contacting support. Your request has been logged with Ticket ID WYA-TCK-8DE48438 and routed to Customer Operations. Our team will review it and respond soon.,WYA-TCK-8DE48438,False,2026-06-01 12:00 AM,rule_based_fallback
CHAT-DFD7CE24,CUST-0001,My card was used for a transaction I did not authorize.,card_issue,0.9,Neutral,Thank you for contacting support. Your request has been logged with Ticket ID WYA-TCK-3B8712DE and routed to Customer Operations. Our team will review it and respond soon.,WYA-TCK-3B8712DE,False,2026-06-01 12:00 AM,rule_based_fallback
CHAT-6B7E79FD,CUST-0001,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,0.9,Neutral,Thank you for reaching out. We understand this may be urgent. Your complaint has been logged with Ticket ID WYA-TCK-CDB6C38E and routed to Finance Operations. Priority level: High. A support officer will follow up shortly.,WYA-TCK-CDB6C38E,True,2026-06-01 12:01 AM,rule_based_fallback
